X axis (cm^-1)	Real index (n)
1760.7	1.5896
1762.6	1.5896
1764.5	1.5897
1766.5	1.5897
1768.4	1.5897
1770.3	1.5897
1772.3	1.5897
1774.2	1.5898
1776.1	1.5898
1778	1.5898
1780	1.5898
1781.9	1.5899
1783.8	1.5899
1785.8	1.5899
1787.7	1.5899
1789.6	1.5899
1791.5	1.59
1793.5	1.59
1795.4	1.59
1797.3	1.59
1799.3	1.59
1801.2	1.5901
1803.1	1.5901
1805	1.5901
1807	1.5901
1808.9	1.5902
1810.8	1.5902
1812.8	1.5902
1814.7	1.5902
1816.6	1.5902
1818.5	1.5903
1820.5	1.5903
1822.4	1.5903
1824.3	1.5903
1826.3	1.5903
1828.2	1.5904
1830.1	1.5904
1832	1.5904
1834	1.5904
1835.9	1.5904
1837.8	1.5905
1839.8	1.5905
1841.7	1.5905
1843.6	1.5905
1845.5	1.5905
1847.5	1.5906
1849.4	1.5906
1851.3	1.5906
1853.3	1.5906
1855.2	1.5906
1857.1	1.5907
1859	1.5907
1861	1.5907
1862.9	1.5907
1864.8	1.5907
1866.8	1.5907
1868.7	1.5908
1870.6	1.5908
1872.5	1.5908
1874.5	1.5908
1876.4	1.5908
1878.3	1.5909
1880.3	1.5909
1882.2	1.5909
1884.1	1.5909
1886	1.5909
1888	1.591
1889.9	1.591
1891.8	1.591
1893.8	1.591
1895.7	1.591
1897.6	1.591
1899.5	1.5911
1901.5	1.5911
1903.4	1.5911
1905.3	1.5911
1907.3	1.5911
1909.2	1.5911
1911.1	1.5912
1913	1.5912
1915	1.5912
1916.9	1.5912
1918.8	1.5912
1920.8	1.5913
1922.7	1.5913
1924.6	1.5913
1926.5	1.5913
1928.5	1.5913
1930.4	1.5913
1932.3	1.5914
1934.3	1.5914
1936.2	1.5914
1938.1	1.5914
1940	1.5914
1942	1.5914
1943.9	1.5915
1945.8	1.5915
1947.8	1.5915
1949.7	1.5915
1951.6	1.5915
1953.5	1.5915
1955.5	1.5916
1957.4	1.5916
1959.3	1.5916
1961.3	1.5916
1963.2	1.5916
1965.1	1.5916
1967	1.5917
1969	1.5917
1970.9	1.5917
1972.8	1.5917
1974.8	1.5917
1976.7	1.5917
1978.6	1.5918
1980.5	1.5918
1982.5	1.5918
1984.4	1.5918
1986.3	1.5918
1988.2	1.5918
1990.2	1.5918
1992.1	1.5919
1994	1.5919
1996	1.5919
1997.9	1.5919
1999.8	1.5919
